 num_co_auth | num_auth 
         164 |       46
         165 |       48
         166 |       51
         167 |       44
         168 |       43
         169 |       50
         170 |       35
         171 |       48
         172 |       38
         173 |       32
         174 |       34
         175 |       42
         176 |       35
         177 |       28
         178 |       33
         179 |       33
         180 |       38
         181 |       24
         182 |       23
         183 |       29
         184 |       40
         185 |       33
         186 |       32
         187 |       33
         188 |       20
         189 |       34
         190 |       25
         191 |       32
         192 |       30
         193 |       26
         194 |       21
         195 |       25
         196 |       25
         197 |       29
         198 |       33
         199 |       21
         200 |       13
         201 |       31
         202 |       23
         203 |       22
         204 |       20
         205 |       14
         206 |       25
         207 |       17
         208 |       21
         209 |       15
         210 |       27
         211 |       21
         212 |       24
         213 |       16
         214 |       22
         215 |       20
         216 |       21
         217 |       16
         218 |       18
         219 |       20
         220 |       20
         221 |       26
         222 |       16
         223 |       11
         224 |       14
         225 |       10
         226 |       13
         227 |       13
         228 |       17
         229 |        9
         230 |       16
         231 |       11
         232 |        8
         233 |       11
         234 |       16
         235 |        8
         236 |       14
         237 |        7
         238 |        8
         239 |       14
         240 |        9
         241 |        9
         242 |       14
         243 |       13
         244 |       14
         245 |        9
         246 |        9
         247 |       11
         248 |        5
         249 |       11
         250 |       17
         251 |       10
         252 |        9
         253 |        5
         254 |       12
         255 |        9
         256 |        5
         257 |       13
         258 |        7
         259 |        8
         260 |        9
         261 |       11
         262 |        7
         263 |       10
         264 |        9
         265 |        8
         266 |       10
         267 |        4
         268 |        5
         269 |        3
         270 |        8
         271 |        8
         272 |        6
         273 |       14
         274 |        5
         275 |        7
         276 |        5
         277 |        5
         278 |        7
         279 |       10
         280 |        5
         281 |        9
         282 |        8
         283 |        9
         284 |        6
         285 |        7
         286 |       10
         287 |        9
         288 |        5
         289 |       10
         290 |        5
         291 |        7
         292 |        4
         293 |        2
         294 |        3
         295 |        8
         296 |        4
         297 |        4
         298 |        8
         299 |        8
         300 |        2
         301 |        3
         303 |        7
         304 |        5
         305 |        6
         306 |        2
         307 |        4
         308 |        5
         309 |        3
         310 |        2
         311 |        3
         312 |        4
         313 |        4
         314 |        3
         315 |        5
         316 |        5
         317 |        4
         318 |        5
         319 |        4
         320 |        2
         321 |        3
         322 |        3
         323 |        7
         324 |        5
         325 |        3
         326 |        6
         327 |        7
         328 |        6
         329 |        4
         330 |        5
         331 |        4
         332 |        6
         333 |        7
         334 |        5
         335 |        1
         336 |        1
         337 |        3
         338 |        4
         339 |        2
         340 |        3
         341 |        1
         342 |        2
         343 |        3
         344 |        2
         345 |        4
         346 |        4
         347 |        1
         348 |        3
         349 |        3
         350 |        3
         351 |        9
         352 |        2
         353 |        2
         354 |        2
         355 |        3
         356 |        1
         357 |        4
         358 |        6
         360 |        4
         361 |        3
         362 |        1
         363 |        3
         364 |        2
         365 |        3
         368 |        1
         370 |        3
         371 |        4
         372 |        1
         373 |        3
         374 |        2
         375 |        6
         376 |        6
         377 |        1
         378 |        2
         379 |        4
         380 |        1
         381 |        1
         382 |        1
         383 |        1
         384 |        3
         385 |        4
         388 |        3
         389 |        2
         390 |        2
         391 |        2
         392 |        3
         393 |        4
         394 |        3
         396 |        5
         397 |        1
         398 |        1
         399 |        3
         400 |        2
         403 |        2
         404 |        3
         405 |        4
         406 |        2
         407 |        2
         408 |        1
         411 |        1
         412 |        2
         413 |        4
         414 |        1
         415 |        1
         416 |        3
         417 |        3
         420 |        2
         421 |        1
         423 |        4
         424 |        2
         425 |        3
         426 |        2
         427 |        2
         428 |        2
         429 |        1
         430 |        3
         431 |        1
         432 |        1
         433 |        1
         434 |        4
         435 |        1
         438 |        4
         441 |        1
         442 |        3
         443 |        3
         444 |        1
         446 |        2
         448 |        3
         449 |        3
         450 |        1
         452 |        1
         453 |        2
         454 |        1
         456 |        1
         457 |        1
         458 |        3
         459 |        1
         460 |        3
         461 |        1
         462 |        2
         463 |        1
         464 |        1
         465 |        3
         466 |        1
         467 |        2
         469 |        1
         470 |        1
         471 |        3
         472 |        2
         473 |        1
         474 |        2
         476 |        1
         478 |        1
         479 |        1
         480 |        1
         482 |        1
         487 |        2
         488 |        2
         489 |        1
         491 |        2
         492 |        2
         494 |        2
         495 |        1
         496 |        2
         497 |        2
         498 |        2
         501 |        1
         503 |        1
         506 |        1
         507 |        1
         511 |        1
         512 |        1
         516 |        1
         517 |        1
         520 |        2
         522 |        1
         524 |        3
         525 |        1
         526 |        1
         531 |        1
         532 |        1
         533 |        1
         535 |        1
         536 |        1
         537 |        2
         538 |        2
         539 |        1
         545 |        2
         546 |        1
         548 |        1
         552 |        1
         553 |        2
         555 |        1
         556 |        1
         566 |        1
         567 |        1
         572 |        1
         574 |        1
         580 |        1
         581 |        2
         582 |        1
         585 |        2
         588 |        1
         591 |        1
         592 |        2
         593 |        1
         601 |        2
         608 |        1
         609 |        1
         610 |        2
         612 |        1
         614 |        2
         626 |        1
         630 |        4
         632 |        1
         633 |        1
         635 |        1
         637 |        1
         639 |        1
         640 |        1
         642 |        3
         645 |        1
         649 |        1
         651 |        1
         652 |        1
         654 |        1
         657 |        1
         658 |        1
         660 |        1
         661 |        1
         664 |        1
         670 |        1
         682 |        1
         683 |        2
         685 |        1
         687 |        1
         696 |        1
         704 |        1
         705 |        1
         710 |        2
         711 |        2
         713 |        1
         716 |        1
         717 |        1
         718 |        1
         720 |        2
         731 |        1
         734 |        1
         739 |        1
         740 |        1
         744 |        1
         748 |        1
         755 |        2
         758 |        1
         761 |        1
         765 |        1
         767 |        1
         770 |        1
         772 |        1
         787 |        1
         796 |        1
         797 |        1
         798 |        1
         800 |        1
         801 |        1
         802 |        2
         806 |        1
         810 |        1
         829 |        1
         831 |        1
         832 |        1
         848 |        1
         849 |        1
         850 |        1
         856 |        1
         860 |        1
         866 |        1
         869 |        1
         870 |        1
         882 |        1
         884 |        1
         886 |        1
         900 |        1
         905 |        1
         906 |        1
         910 |        1
         925 |        1
         937 |        1
         945 |        1
         957 |        1
         969 |        1
         976 |        1
         978 |        1
         980 |        1
        1005 |        1
        1006 |        1
        1011 |        1
        1014 |        1
        1018 |        1
        1023 |        2
        1028 |        1
        1029 |        1
        1030 |        1
        1036 |        1
        1057 |        1
        1058 |        1
        1059 |        1
        1064 |        1
        1065 |        1
        1079 |        1
        1087 |        1
        1104 |        1
        1124 |        1
        1136 |        1
        1152 |        1
        1164 |        1
        1179 |        1
        1181 |        1
        1189 |        1
        1193 |        1
        1202 |        1
        1214 |        1
        1227 |        1
        1269 |        1
        1283 |        1
        1304 |        1
        1326 |        1
        1349 |        2
        1373 |        1
        1410 |        1
        1444 |        1
        1463 |        1
        1523 |        1
        1639 |        1
        1665 |        1
        1763 |        1
        2329 |        1
(636 rows)

